Year,Agriculture,Mining,Manufacturing,Utilities,Construction,"Trade, restaurants and hotels","Transport, storage and communication","Finance, insurance, real estate and business services",Government services,"Community, social and personal services"
1950,5702.96,979.84,15641.11,463.21,3676.41,12579.48,4898.30,4237.91,11825.64,2534.34
1951,5375.01,995.17,16868.28,473.21,3926.69,13168.35,5159.86,4455.71,13899.52,2604.49
1952,5243.99,971.67,17176.32,478.20,3920.30,13389.04,5169.10,4647.05,14895.20,2621.95
1953,5051.63,910.10,17589.80,485.88,3839.33,13394.19,5135.98,4823.25,14865.53,2669.22
1954,5069.05,835.25,16393.56,490.02,3716.58,13264.28,4849.85,5029.44,14858.91,2672.12
1955,4902.35,839.25,16934.02,494.16,3818.17,13601.85,4917.48,5199.25,14958.31,2830.20
1956,4663.49,877.17,17273.15,500.78,3970.56,14036.32,5044.94,5383.20,15273.75,2981.63
1957,4459.47,874.17,17178.35,504.09,3882.72,14154.52,5022.83,5486.30,15672.69,3062.41
1958,4330.09,780.37,15865.81,516.51,3764.20,14062.94,4653.47,5587.37,15742.94,3143.19
1959,4201.54,747.44,16582.18,512.37,3911.30,14341.94,4658.67,5700.57,15994.76,3254.95
1960,4041.47,726.48,16700.44,515.68,3867.91,14667.80,4665.17,5868.36,16450.70,3364.97
1961,3980.93,692.55,16258.69,516.51,3841.45,14564.51,4527.31,5987.62,16931.81,3488.02
1962,3866.48,673.59,16808.92,513.20,3926.11,14748.73,4528.61,6114.98,17419.55,3607.02
1963,3686.50,654.63,16927.18,514.85,4012.89,14901.01,4523.41,6266.59,17770.78,3694.46
1964,3474.19,649.64,17214.51,518.17,4140.94,15334.42,4587.14,6426.28,18363.23,3824.17
1965,3327.39,652.64,17980.73,525.62,4300.73,15849.83,4678.18,6640.56,18953.02,3936.22
1966,3078.58,648.64,19134.94,531.41,4384.33,16417.42,4847.25,6828.56,20575.30,4120.66
1967,2979.06,632.68,19361.68,543.00,4344.12,16707.07,4965.60,7081.24,21716.46,4246.89
1968,2944.23,627.69,19696.90,552.10,4482.75,17179.88,5033.23,7422.87,22397.70,4387.03
1969,2860.46,637.67,20107.37,566.17,4690.17,17859.28,5167.19,7742.27,22844.36,4552.64
1970,2805.72,640.66,19265.90,580.25,4628.79,18229.86,5219.22,7992.93,22957.02,4603.60
1971,2756.79,628.69,18432.25,589.35,4717.68,18577.01,5173.70,8184.97,22941.11,4694.81
1972,2798.26,636.67,18889.63,600.94,4960.02,19068.99,5227.02,8457.87,22941.11,4904.43
1973,2861.29,652.64,19942.21,614.18,5334.64,19923.03,5386.99,8983.46,23285.71,5115.50
1974,2931.79,713.51,19924.62,622.46,5332.53,20387.33,5480.63,9266.46,23777.43,5241.45
1975,2871.24,767.40,18234.83,613.36,4792.82,20425.66,5289.45,9420.10,24258.55,5358.71
1976,2896.95,804.32,18935.57,613.36,4887.00,21183.87,5306.35,9646.50,24258.55,5543.72
1977,2799.09,845.23,19656.83,624.12,5258.45,22108.19,5465.03,10083.14,24495.79,5797.64
1978,2862.79,881.29,20465.53,647.78,5795.66,23288.05,5637.57,10899.49,25426.07,5908.66
1979,2872.66,982.94,21046.66,670.75,6112.78,24211.02,5855.77,11637.32,25981.09,5934.49
1980,2928.97,1042.20,20345.66,688.07,6008.27,24371.57,5816.46,12120.46,26668.31,5921.28
1981,2868.97,1147.18,20317.01,711.78,5844.84,24803.08,5800.35,12790.94,26621.74,5984.51
