GEOID,County,Household,Poverty,Alice,Abovealice,alicepercentage
12001,Alachua,94428,20014,27846,46568,0.2949
12003,Baker,8270,1218,2205,4847,0.2666
12005,Bay,70330,9890,20566,39874,0.2924
12007,Bradford,8704,1915,2345,4444,0.2694
12009,Brevard,226021,29956,61581,134484,0.2725
12011,Broward,681474,88930,248954,343590,0.3653
12013,Calhoun,4555,638,2016,1901,0.4426
12015,Charlotte,75147,7935,25580,41632,0.3404
12017,Citrus,63581,10213,21896,31472,0.3444
12019,Clay,74130,7034,20815,46281,0.2808
12021,Collier,139522,12443,37655,89424,0.2699
12023,Columbia,24215,4118,8080,12017,0.3337
12027,DeSoto,11419,2386,4440,4593,0.3888
12029,Dixie,6221,1404,2154,2663,0.3462
12031,Duval,353946,47655,94425,211866,0.2668
12033,Escambia,118702,14087,40909,63706,0.3446
12035,Flagler,41311,4333,13259,23719,0.3210
12037,Franklin,4250,803,1508,1939,0.3548
12039,Gadsden,16885,3778,6172,6935,0.3655
12041,Gilchrist,6254,1224,2112,2918,0.3377
12043,Glades,4019,836,1975,1208,0.4914
12045,Gulf,5349,887,2006,2456,0.3750
12047,Hamilton,4717,1201,1304,2212,0.2764
12049,Hardee,7558,1596,3289,2673,0.4352
12051,Hendry,11817,2734,4961,4122,0.4198
12053,Hernando,74262,10607,22088,41567,0.2974
12055,Highlands,38808,5506,15811,17491,0.4074
12057,Hillsborough,514487,72950,126856,314681,0.2466
12059,Holmes,6809,1699,2049,3061,0.3009
12061,Indian River,55427,5910,22009,27508,0.3971
12063,Jackson,16744,3638,6026,7080,0.3599
12065,Jefferson,5564,859,1889,2816,0.3395
12067,Lafayette,2320,513,912,895,0.3931
12069,Lake,128888,13501,43697,71690,0.3390
12071,Lee,261735,29757,81302,150676,0.3106
12073,Leon,112119,20277,27771,64071,0.2477
12075,Levy,15372,3118,5426,6828,0.3530
12077,Liberty,2363,409,1060,894,0.4486
12079,Madison,6665,1906,2090,2669,0.3136
12081,Manatee,142465,16120,46816,79529,0.3286
12083,Marion,134239,20477,48284,65478,0.3597
12085,Martin,62976,6044,17794,39138,0.2826
12086,Miami-Dade,880766,169904,354294,356568,0.4023
12087,Monroe,30318,3499,9078,17741,0.2994
12089,Nassau,30547,3412,5213,21922,0.1707
12091,Okaloosa,76102,7245,19491,49366,0.2561
12093,Okeechobee,12850,2809,4432,5609,0.3449
12095,Orange,468515,73786,144325,250404,0.3080
12097,Osceola,97569,14327,41295,41947,0.4232
12099,Palm Beach,536446,62272,183020,291154,0.3412
12101,Pasco,195628,26165,63372,106091,0.3239
12103,Pinellas,407268,49341,123555,234372,0.3034
12105,Polk,226429,34276,77478,114675,0.3422
12107,Putnam,28025,4976,8678,14371,0.3097
12113,Santa Rosa,61817,6627,15316,39874,0.2478
12115,Sarasota,176191,16424,49696,110071,0.2821
12117,Seminole,167549,19734,44947,102868,0.2683
12109,St. Johns,84187,6016,15694,62477,0.1864
12111,St. Lucie,111617,18075,39259,54283,0.3517
12119,Sumter,51781,4707,12882,34192,0.2488
12121,Suwannee,15315,3347,4215,7753,0.2752
12123,Taylor,7544,1261,3386,2897,0.4488
12125,Union,3892,819,1489,1584,0.3826
12127,Volusia,214039,29858,62184,121997,0.2905
12129,Wakulla,10726,1419,2774,6533,0.2586
12131,Walton,27207,3768,5764,17675,0.2119
12133,Washington,8370,1730,2800,3840,0.3345
